artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
wolfgang amadeus mozart,"eine kleine nachtmusik, k. 525: iv. rondo",0ummSo7DWK8G79OlSZaRmn,https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS,https://open.spotify.com/track/0ummSo7DWK8G79OlSZaRmn,classical,0.511,0.113,9,-25.67,1,0.0437,0.978,0.869,0.0979,0.474,100.298,219933
wolfgang amadeus mozart,"lucio silla, k. 135: vanne, t'affreta",6oDyojE8BH9wKy6Mpmweqo,https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS,https://open.spotify.com/track/6oDyojE8BH9wKy6Mpmweqo,classical,0.389,0.0665,10,-21.829,1,0.0462,0.958,9.14e-05,0.0924,0.135,110.524,583400
wolfgang amadeus mozart,"die zauberflöte, k. 620, act i: der vogelfänger bin ich ja (papageno)",3EP6PvEReOBfU1Muvwo4aF,https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS,https://open.spotify.com/track/3EP6PvEReOBfU1Muvwo4aF,classical,0.404,0.124,7,-22.95,1,0.055,0.967,8.92e-05,0.13,0.487,145.901,168973
wolfgang amadeus mozart,"le nozze di figaro, k. 492: overture",5uEOSD5iZ18WBK4JtrKu2l,https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS,https://open.spotify.com/track/5uEOSD5iZ18WBK4JtrKu2l,classical,0.335,0.175,2,-17.74,1,0.0352,0.967,0.938,0.15,0.392,144.255,256160
wolfgang amadeus mozart,"le nozze di figaro, k. 492, act ii: voi che sapete (cherubino)",6Mkw10n493pdZBqCuYJO4g,https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS,https://open.spotify.com/track/6Mkw10n493pdZBqCuYJO4g,classical,0.302,0.0596,10,-24.24,1,0.0564,0.978,0.000119,0.186,0.0723,103.357,176893
wolfgang amadeus mozart,"eine kleine nachtmusik, k. 525: i. allegro",4rvOibPREwBs3yKkd7weqd,https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS,https://open.spotify.com/track/4rvOibPREwBs3yKkd7weqd,classical,0.588,0.154,9,-24.652,1,0.0504,0.956,0.863,0.0953,0.539,141.028,242880
gåel,i remember,1tIqpXyBu4DTgzpp5nkk1G,https://open.spotify.com/artist/3IDwktZCJFdN7oBKwLOZX5,https://open.spotify.com/track/1tIqpXyBu4DTgzpp5nkk1G,classical,0.452,0.0528,1,-26.181,1,0.0487,0.989,0.928,0.103,0.265,114.667,142458
gåel,mid air,5O3UGMP9XJLbshKKZHsrGN,https://open.spotify.com/artist/3IDwktZCJFdN7oBKwLOZX5,https://open.spotify.com/track/5O3UGMP9XJLbshKKZHsrGN,classical,0.524,0.0338,0,-28.584,1,0.0577,0.995,0.921,0.0907,0.25,111.753,147937
annelie,lost,7nC2EOpMnpDT2DkvniimSm,https://open.spotify.com/artist/0Rm9NmU9uyvf7tfVt4YNKC,https://open.spotify.com/track/7nC2EOpMnpDT2DkvniimSm,classical,0.389,0.1,10,-22.464,0,0.0358,0.972,0.934,0.113,0.0676,133.839,161520
duke ellington,in a sentimental mood,0E8q2Fx2XuzXCO2NSAppkR,https://open.spotify.com/artist/4F7Q5NV6h5TSwCainz8S5A,https://open.spotify.com/track/0E8q2Fx2XuzXCO2NSAppkR,classical,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,255227
